event_id,symbol,side,threshold,horizon,day,net,quality,beta_samples,beta,btc_directional_gross,residual_after_signal_cost
SOLUSDT:short:70:1788650017.418206,SOLUSDT,short,70,60,2026-09-05,-0.2751289509404752,True,96,1.6163343582654004,-0.18542122483389267,0.024573745510199252
SOLUSDT:short:70:1788477860.029869,SOLUSDT,short,70,240,2026-09-03,-0.19706386667951648,True,78,1.3135353446622082,0.31916637194095987,-0.6163001770515717
SOLUSDT:short:70:1788533355.598924,SOLUSDT,short,70,240,2026-09-04,-1.1250751318539276,True,96,1.3175405614993427,-1.0328642075024597,0.23576535605143678
SOLUSDT:short:70:1788650017.418206,SOLUSDT,short,70,240,2026-09-05,-1.3707271669575327,True,96,1.6163343582654004,-0.2288283586583617,-1.0008640287125448
SOLUSDT:short:80:1788477860.029869,SOLUSDT,short,80,15,2026-09-03,-0.41862248338310415,True,78,1.3135353446622082,-0.17042744880091387,-0.1947600056824949
SOLUSDT:short:80:1788650017.418206,SOLUSDT,short,80,15,2026-09-05,-0.17817335660267541,True,96,1.6163343582654004,-0.07652702784077814,-0.05448009216769285
SOLUSDT:short:80:1788477860.029869,SOLUSDT,short,80,30,2026-09-03,-0.12,True,78,1.3135353446622082,-0.10104881273806932,0.012731187067606814
SOLUSDT:short:80:1788650017.418206,SOLUSDT,short,80,30,2026-09-05,-0.09091332169866229,True,96,1.6163343582654004,-0.08079246873684554,0.03967432140978436
SOLUSDT:short:80:1788477860.029869,SOLUSDT,short,80,60,2026-09-03,-0.13926596666987912,True,78,1.3135353446622082,-0.14726016002681863,0.05416545838596004
SOLUSDT:short:80:1788650017.418206,SOLUSDT,short,80,60,2026-09-05,-0.2751289509404752,True,96,1.6163343582654004,-0.18542122483389267,0.024573745510199252
SOLUSDT:short:80:1788477860.029869,SOLUSDT,short,80,240,2026-09-03,-0.19706386667951648,True,78,1.3135353446622082,0.31916637194095987,-0.6163001770515717
SOLUSDT:short:80:1788650017.418206,SOLUSDT,short,80,240,2026-09-05,-1.3707271669575327,True,96,1.6163343582654004,-0.2288283586583617,-1.0008640287125448
