symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
ETHUSDT,short,50,full,60,7,0,7,-0.09323481442121272,7,-0.09323481442121272,-0.130429620121144,0.2857142857142857,0.4559010505216906
ETHUSDT,short,50,full,240,7,0,7,-0.5863894934242034,7,-0.5863894934242034,-0.43008062898632005,0.0,0.0
ETHUSDT,short,50,no_delta,15,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta,30,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta,60,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta,240,0,0,0,,0,,,,
ETHUSDT,short,50,no_oi,15,6,0,6,0.0532658585612501,6,0.0532658585612501,0.02791679547228043,0.8333333333333334,2.5112499623810467
ETHUSDT,short,50,no_oi,30,6,0,6,0.005395494820766215,6,0.005395494820766215,-0.13695520410560091,0.3333333333333333,1.0358712528679297
ETHUSDT,short,50,no_oi,60,6,0,6,-0.021681122138898574,6,-0.021681122138898574,-0.12709511324532563,0.3333333333333333,0.8507953270701704
ETHUSDT,short,50,no_oi,240,6,0,6,-0.4890584662273327,6,-0.4890584662273327,-0.3677088691861695,0.0,0.0
ETHUSDT,short,50,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,short,50,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,short,60,full,15,2,0,2,-0.29891558581957234,2,-0.29891558581957234,-0.29891558581957234,0.0,0.0
ETHUSDT,short,60,full,30,2,0,2,-0.3895929748520842,2,-0.3895929748520842,-0.3895929748520842,0.0,0.0
ETHUSDT,short,60,full,60,2,0,2,-0.6037571312677702,2,-0.6037571312677702,-0.6037571312677702,0.0,0.0
ETHUSDT,short,60,full,240,2,0,2,-1.843304103505008,2,-1.843304103505008,-1.843304103505008,0.0,0.0
ETHUSDT,short,60,no_delta,15,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta,30,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta,60,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta,240,0,0,0,,0,,,,
ETHUSDT,short,60,no_oi,15,1,0,1,-0.2459631271573136,1,-0.2459631271573136,-0.2459631271573136,0.0,0.0
ETHUSDT,short,60,no_oi,30,1,0,1,-0.2762269953704565,1,-0.2762269953704565,-0.2762269953704565,0.0,0.0
ETHUSDT,short,60,no_oi,60,1,0,1,-0.30485497881528534,1,-0.30485497881528534,-0.30485497881528534,0.0,0.0
ETHUSDT,short,60,no_oi,240,1,0,1,-0.604221891409975,1,-0.604221891409975,-0.604221891409975,0.0,0.0
ETHUSDT,short,60,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,short,60,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,short,70,full,15,1,0,1,-0.2459631271573136,1,-0.2459631271573136,-0.2459631271573136,0.0,0.0
ETHUSDT,short,70,full,30,1,0,1,-0.2762269953704565,1,-0.2762269953704565,-0.2762269953704565,0.0,0.0
ETHUSDT,short,70,full,60,1,0,1,-0.30485497881528534,1,-0.30485497881528534,-0.30485497881528534,0.0,0.0
ETHUSDT,short,70,full,240,1,0,1,-0.604221891409975,1,-0.604221891409975,-0.604221891409975,0.0,0.0
ETHUSDT,short,70,no_delta,15,0,0,0,,0,,,,
ETHUSDT,short,70,no_delta,30,0,0,0,,0,,,,
